  [dqn] slot=650 team_r=4.5276 eps=0.383 K=2000
  [dqn] slot=700 team_r=0.0000 eps=0.335 K=2000
  [dqn] slot=750 team_r=5.1476 eps=0.288 K=2000
  [dqn] slot=800 team_r=3.7578 eps=0.240 K=2000
  [dqn] slot=850 team_r=4.5703 eps=0.193 K=2000
  [dqn] slot=900 team_r=-1.4483 eps=0.145 K=2000
  [dqn] slot=950 team_r=7.8892 eps=0.098 K=2000
    reward=83.9150 acc=0.1611 delay=1.741 energy=0.135 backlog=0 vio=0.418 ms/slot=14.11 (dec=6.21 comm=6.82 alloc=1.07) wall=30s
=== dqn seed=3 ===
  [dqn] slot=0 team_r=0.0000 eps=1.000 K=2000
  [dqn] slot=50 team_r=-1.9954 eps=0.953 K=2000
  [dqn] slot=100 team_r=8.6721 eps=0.905 K=2000
  [dqn] slot=150 team_r=14.9221 eps=0.858 K=2000
  [dqn] slot=200 team_r=18.4293 eps=0.810 K=2000
  [dqn] slot=250 team_r=0.0000 eps=0.762 K=2000
  [dqn] slot=300 team_r=17.0400 eps=0.715 K=2000
  [dqn] slot=350 team_r=8.1694 eps=0.667 K=2000
  [dqn] slot=400 team_r=0.0000 eps=0.620 K=2000
  [dqn] slot=450 team_r=3.7463 eps=0.573 K=2000
  [dqn] slot=500 team_r=12.6240 eps=0.525 K=2000
  [dqn] slot=550 team_r=3.8030 eps=0.478 K=2000
  [dqn] slot=600 team_r=0.0000 eps=0.430 K=2000
  [dqn] slot=650 team_r=4.9483 eps=0.383 K=2000
  [dqn] slot=700 team_r=15.7157 eps=0.335 K=2000
  [dqn] slot=750 team_r=4.0438 eps=0.288 K=2000
  [dqn] slot=800 team_r=7.1205 eps=0.240 K=2000
  [dqn] slot=850 team_r=5.3512 eps=0.193 K=2000
  [dqn] slot=900 team_r=10.4143 eps=0.145 K=2000
  [dqn] slot=950 team_r=6.8433 eps=0.098 K=2000
    reward=90.5086 acc=0.1657 delay=1.678 energy=0.134 backlog=0 vio=0.392 ms/slot=14.91 (dec=6.63 comm=6.82 alloc=1.46) wall=936s
=== dqn seed=4 ===
  [dqn] slot=0 team_r=0.0000 eps=1.000 K=2000
  [dqn] slot=50 team_r=9.6468 eps=0.953 K=2000
  [dqn] slot=100 team_r=1.6454 eps=0.905 K=2000
  [dqn] slot=150 team_r=-2.7485 eps=0.858 K=2000
  [dqn] slot=200 team_r=3.6400 eps=0.810 K=2000
  [dqn] slot=250 team_r=6.0445 eps=0.762 K=2000
  [dqn] slot=300 team_r=7.6011 eps=0.715 K=2000
  [dqn] slot=350 team_r=1.8643 eps=0.667 K=2000
  [dqn] slot=400 team_r=1.2805 eps=0.620 K=2000
  [dqn] slot=450 team_r=3.5474 eps=0.573 K=2000
  [dqn] slot=500 team_r=6.7092 eps=0.525 K=2000
  [dqn] slot=550 team_r=5.8648 eps=0.478 K=2000
  [dqn] slot=600 team_r=0.0000 eps=0.430 K=2000
  [dqn] slot=650 team_r=10.1654 eps=0.383 K=2000
  [dqn] slot=700 team_r=5.5661 eps=0.335 K=2000
  [dqn] slot=750 team_r=10.1966 eps=0.288 K=2000
  [dqn] slot=800 team_r=16.1148 eps=0.240 K=2000
  [dqn] slot=850 team_r=0.0000 eps=0.193 K=2000
  [dqn] slot=900 team_r=-0.5984 eps=0.145 K=2000
  [dqn] slot=950 team_r=8.3058 eps=0.098 K=2000
    reward=87.9996 acc=0.1619 delay=1.719 energy=0.136 backlog=0 vio=0.385 ms/slot=12.94 (dec=5.25 comm=6.82 alloc=0.87) wall=23s
=== ppo seed=0 ===
  [ppo train] slot=0 team_r=0.0000
  [ppo train] slot=50 team_r=4.8934
  [ppo train] slot=100 team_r=16.4272
  [ppo train] slot=150 team_r=0.0000
  [ppo train] slot=200 team_r=1.3499
  [ppo train] slot=250 team_r=9.2854
  [ppo train] slot=300 team_r=-0.9239
  [ppo train] slot=350 team_r=-1.1602
  [ppo train] slot=400 team_r=7.8390
  [ppo train] slot=450 team_r=3.4879
  [ppo train] slot=500 team_r=12.0494
  [ppo train] slot=550 team_r=7.0901
