Model,Coding Rate,SNR,Accuracy
Box3,0.2,0.0,0.0462
Box3,0.2,0.10101010101010101,0.05190441836447751
Box3,0.2,0.20202020202020202,0.057549999554807496
Box3,0.2,0.30303030303030304,0.06312715190825532
Box3,0.2,0.40404040404040403,0.06862628376208635
Box3,0.2,0.5050505050505051,0.07403780345356593
Box3,0.2,0.6060606060606061,0.07935211931995945
Box3,0.2,0.7070707070707071,0.08455963969853225
Box3,0.2,0.8080808080808081,0.08965077292654969
Box3,0.2,0.9090909090909091,0.09461592734127715
Box3,0.2,1.0101010101010102,0.09944551127997997
Box3,0.2,1.1111111111111112,0.10412993307992355
Box3,0.2,1.2121212121212122,0.1086596010783732
Box3,0.2,1.3131313131313131,0.11302492361259432
Box3,0.2,1.4141414141414141,0.11721630901985229
Box3,0.2,1.5151515151515151,0.12122416563741242
Box3,0.2,1.6161616161616161,0.1250389018025401
Box3,0.2,1.7171717171717171,0.12865092585250068
Box3,0.2,1.8181818181818181,0.13205064612455952
Box3,0.2,1.9191919191919191,0.13522847095598203
Box3,0.2,2.0202020202020203,0.13817480868403353
Box3,0.2,2.121212121212121,0.14088006764597938
Box3,0.2,2.2222222222222223,0.14333465617908492
Box3,0.2,2.323232323232323,0.1455289826206156
Box3,0.2,2.4242424242424243,0.14745345530783666
Box3,0.2,2.525252525252525,0.14909848257801359
Box3,0.2,2.6262626262626263,0.15045447276841165
Box3,0.2,2.727272727272727,0.15151183421629622
Box3,0.2,2.8282828282828283,0.15226097525893276
Box3,0.2,2.929292929292929,0.15269230423358648
Box3,0.2,3.0303030303030303,0.1528112405756489
Box3,0.2,3.131313131313131,0.15284772435842753
Box3,0.2,3.2323232323232323,0.152882661251889
Box3,0.2,3.3333333333333335,0.15291600976705996
Box3,0.2,3.4343434343434343,0.15294772841496682
Box3,0.2,3.5353535353535355,0.15297777570663618
Box3,0.2,3.6363636363636362,0.15300611015309462
Box3,0.2,3.7373737373737375,0.1530326902653687
Box3,0.2,3.8383838383838382,0.15305747455448487
Box3,0.2,3.9393939393939394,0.15308042153146978
Box3,0.2,4.040404040404041,0.1531014897073499
Box3,0.2,4.141414141414141,0.1531206375931519
Box3,0.2,4.242424242424242,0.15313782369990217
Box3,0.2,4.343434343434343,0.15315300653862735
Box3,0.2,4.444444444444445,0.15316614462035397
