name,seed,n_users,reward,acc,delay,energy,backlog,vio,vio_excess,sec
rss,1,20,-11.6935,0.195464,122.611,12.5707,859483,0.8622,68.1685,19.0384
rss,2,20,-11.232,0.200412,121.2,12.4563,246690,0.8802,70.1518,19.8324
dqn,0,20,-13.6069,0.205413,142.101,14.589,273471,0.862,73.5443,53.1306
dqn,1,20,-12.0808,0.206013,128.235,13.1352,414460,0.8649,70.8804,53.6295
dqn,2,20,-14.8375,0.207116,150.771,15.415,269983,0.8828,84.7735,52.4822
ppo,0,20,-12.3619,0.205222,131.315,13.5099,348937,0.8663,70.0445,23.0934
ppo,1,20,-14.2444,0.20562,144.948,14.8071,406535,0.8652,81.6477,23.1681
ppo,2,20,-14.8603,0.206331,150.403,15.3776,334684,0.8884,83.8878,22.6119
mappo,0,20,-12.9029,0.204348,136.078,13.9867,315230,0.8547,71.6033,19.6588
mappo,1,20,-12.1859,0.204258,129.545,13.2666,352030,0.8547,72.4722,19.853
mappo,2,20,-11.8709,0.20531,126.842,13.0207,274518,0.8756,69.2896,20.1611
cto,0,20,-1.54461,0.182392,58.3819,6.22985,73373.4,0.6903,28.948,66.6848
cto,1,20,-2.06955,0.1823,62.3019,6.55657,73878.4,0.6678,33.8398,68.3063
cto,2,20,-1.56907,0.184404,57.6808,6.12053,69637.2,0.7071,31.1879,73.5797
