name,seed,explore_knob,reward,acc,delay,energy,backlog,vio,vio_excess,sec
rss,1,2,-1.38889,0.198397,57.1013,6.0975,125217,0.7014,28.7185,13.6849
rss,2,2,-2.0294,0.195836,60.7853,6.59373,80697.5,0.7042,35.7208,14.8571
dqn,0,2,-3.97761,0.206424,73.3633,7.89637,98916.6,0.7492,39.1031,32.4686
dqn,1,2,-2.0577,0.207043,62.4205,6.65876,126922,0.7012,30.7353,34.2125
dqn,2,2,-1.70022,0.205936,56.1418,6.10505,123699,0.7732,32.6804,38.9166
ppo,0,2,-3.82288,0.206215,71.3416,7.69908,101307,0.7508,39.06,20.136
ppo,1,2,-2.65514,0.206117,66.9129,7.11903,136492,0.6996,33.6632,19.8493
ppo,2,2,-0.842833,0.205775,48.6285,5.35761,119625,0.7756,26.6041,17.0819
mappo,0,2,-2.78224,0.207366,62.418,6.80097,137119,0.758,34.2616,15.2496
mappo,1,2,-3.40184,0.205396,72.7731,7.69458,109761,0.7004,35.7358,15.6134
mappo,2,2,-2.35961,0.204326,62.8606,6.77372,84405.3,0.755,34.0961,15.1574
cto,0,2,4.63326,0.181865,21.2466,2.72444,31451.1,0.3992,11.1358,48.3067
cto,1,2,4.08892,0.186734,28.747,3.34507,38643.8,0.3998,14.7807,48.4155
cto,2,2,3.45968,0.186725,28.9733,3.46293,30233.6,0.519,14.9775,51.2896
