cell_id,ue_id,distance_m
8,12,45.0
8,13,107.5
8,14,19.6
8,15,83.1
8,16,95.8
8,17,39.4
8,18,196.3
8,19,238.6
8,20,135.8
8,21,120.6
8,22,252.1
8,23,262.2
8,24,242.0
8,25,152.0
8,26,248.6
8,27,235.5
8,28,141.8
8,29,106.0
8,30,266.5
8,31,268.5
8,32,188.0
8,33,191.7
8,34,255.3
8,35,240.4
8,36,264.5
8,37,257.7
8,38,220.2
8,39,189.2
8,40,213.6
8,41,147.6
9,0,204.7
9,1,126.8
9,2,268.0
9,3,241.0
9,4,228.3
9,5,198.0
9,6,288.6
9,7,265.9
9,8,200.8
9,9,205.1
9,10,247.4
9,11,189.3
9,12,166.8
9,13,239.7
9,14,217.3
9,15,268.1
9,16,105.1
9,17,191.2
9,18,31.6
9,19,99.1
9,20,65.0
9,21,100.1
9,22,94.9
9,23,91.3
9,24,117.7
9,25,196.8
9,26,208.7
9,27,244.5
9,28,224.6
9,29,264.2
9,30,263.8
9,31,236.2
9,32,220.9
9,33,196.2
9,34,191.8
9,35,169.5
9,36,209.1
9,37,198.9
9,38,165.4
9,39,167.5
9,40,284.1
9,41,241.8
10,0,204.7
10,1,126.8
10,2,268.0
10,3,241.0
10,4,228.3
10,5,198.0
10,6,288.6
10,7,265.9
10,8,200.8
10,9,205.1
10,10,247.4
10,11,189.3
10,12,166.8
10,13,239.7
10,14,217.3
10,15,268.1
10,16,105.1
10,17,191.2
10,18,31.6
10,19,99.1
10,20,65.0
10,21,100.1
10,22,94.9
10,23,91.3
10,24,117.7
10,25,196.8
10,26,208.7
10,27,244.5
10,28,224.6
10,29,264.2
10,30,263.8
10,31,236.2
10,32,220.9
10,33,196.2
10,34,191.8
10,35,169.5
10,36,209.1
10,37,198.9
10,38,165.4
10,39,167.5
10,40,284.1
10,41,241.8
11,0,204.7
11,1,126.8
11,2,268.0
11,3,241.0
11,4,228.3
11,5,198.0
11,6,288.6
11,7,265.9
11,8,200.8
11,9,205.1
11,10,247.4
11,11,189.3
11,12,166.8
11,13,239.7
11,14,217.3
11,15,268.1
11,16,105.1
11,17,191.2
11,18,31.6
11,19,99.1
11,20,65.0
11,21,100.1
11,22,94.9
11,23,91.3
11,24,117.7
11,25,196.8
11,26,208.7
11,27,244.5
11,28,224.6
11,29,264.2
11,30,263.8
11,31,236.2
11,32,220.9
11,33,196.2
11,34,191.8
11,35,169.5
11,36,209.1
11,37,198.9
11,38,165.4
11,39,167.5
11,40,284.1
11,41,241.8
12,0,267.2
12,1,217.2
12,2,254.2
12,3,224.7
12,4,198.2
12,5,117.7
12,6,139.8
12,7,188.1
12,8,147.9
12,9,144.3
12,10,231.0
12,11,271.8
12,12,237.1
12,13,125.6
12,14,183.1
12,15,121.7
12,16,265.6
12,17,215.7
12,18,229.3
12,19,250.1
12,20,237.3
12,21,228.0
12,22,125.4
12,23,156.3
12,24,105.1
12,25,85.2
12,26,55.4
12,27,66.7
12,28,61.7
12,29,95.0
12,30,139.9
12,31,132.2
12,32,217.0
12,33,208.6
12,34,155.0
12,35,181.6
12,36,271.6
12,37,249.5
12,38,185.9
12,39,142.4
12,40,256.6
12,41,192.7
13,0,267.2
13,1,217.2
13,2,254.2
13,3,224.7
13,4,198.2
13,5,117.7
13,6,139.8
13,7,188.1
13,8,147.9
13,9,144.3
13,10,231.0
13,11,271.8
13,12,237.1
13,13,125.6
13,14,183.1
13,15,121.7
13,16,265.6
13,17,215.7
13,18,229.3
13,19,250.1
13,20,237.3
13,21,228.0
13,22,125.4
13,23,156.3
13,24,105.1
13,25,85.2
13,26,55.4
13,27,66.7
13,28,61.7
13,29,95.0
13,30,139.9
13,31,132.2
13,32,217.0
13,33,208.6
13,34,155.0
13,35,181.6
13,36,271.6
13,37,249.5
13,38,185.9
13,39,142.4
13,40,256.6
13,41,192.7
14,0,267.2
14,1,217.2
14,2,254.2
14,3,224.7
14,4,198.2
14,5,117.7
14,6,139.8
14,7,188.1
14,8,147.9
14,9,144.3
14,10,231.0
14,11,271.8
14,12,237.1
14,13,125.6
14,14,183.1
14,15,121.7
14,16,265.6
14,17,215.7
14,18,229.3
14,19,250.1
14,20,237.3
14,21,228.0
14,22,125.4
14,23,156.3
14,24,105.1
14,25,85.2
14,26,55.4
14,27,66.7
14,28,61.7
14,29,95.0
14,30,139.9
14,31,132.2
14,32,217.0
14,33,208.6
14,34,155.0
14,35,181.6
14,36,271.6
14,37,249.5
14,38,185.9
14,39,142.4
14,40,256.6
14,41,192.7
15,0,275.5
15,1,254.9
15,2,194.2
15,3,184.9
15,4,168.6
15,5,150.2
15,6,243.2
15,7,248.1
15,8,121.2
15,9,125.0
15,10,293.3
15,11,253.7
