name,seed,arrival_rate,reward,acc,delay,energy,backlog,vio,vio_excess,sec
causal,0,0.05,132.37009115048846,0.17689412837396284,1.3182023652850805,0.09814778279876919,0.0604,0.11583011583011583,0.0,3.673737049102783
causal,1,0.05,141.58890517531955,0.1921864253886701,1.2639092950805852,0.09019259973344268,0.0556,0.08536585365853659,0.0,3.658782958984375
causal,2,0.05,137.7083998394184,0.19499961069852184,1.2989347275435297,0.08948981909245343,0.0564,0.12550607287449392,0.0,3.587825059890747
ucb,0,0.05,110.14037732037256,0.14924039341222978,1.444774024426348,0.1264943054690035,0.0626,0.25868725868725867,0.0,3.530056953430176
ucb,1,0.05,120.09108013128593,0.16265902709561916,1.3918504275192565,0.11842389520383058,0.0566,0.25203252032520324,0.0,3.4597959518432617
ucb,2,0.05,107.54439225984531,0.1639214236276519,1.494104883502234,0.13428642752642198,0.0606,0.3157894736842105,0.0,3.4758458137512207
dts,0,0.05,110.40278978408068,0.15888163953782442,1.4611308819713997,0.12915900691247484,0.062,0.28185328185328185,0.0,3.488247871398926
dts,1,0.05,115.25282765121389,0.1631833151467679,1.4411069882303447,0.1262120444369869,0.0578,0.27235772357723576,0.0,3.554544687271118
dts,2,0.05,108.91201743791783,0.1711995526284241,1.5026037757487756,0.13372193152329015,0.061,0.30364372469635625,0.0,3.615525960922241
gdo,0,0.05,127.19894220426663,0.20835482469266856,1.4306643480479537,0.10869291134400964,0.0634,0.19305019305019305,0.0,3.519573926925659
gdo,1,0.05,136.50579743494316,0.21597606315115814,1.3611363260706892,0.09897430423871798,0.0574,0.15853658536585366,0.0,3.4851150512695312
gdo,2,0.05,135.0878850325818,0.21669494708812695,1.3766073774977108,0.09641405462321975,0.0576,0.1700404858299595,0.0,3.5047380924224854
dqn,0,0.05,108.07304175005936,0.16812843084438,1.4934041730386747,0.13393100854613396,0.0644,0.32432432432432434,0.0,5.25754976272583
dqn,1,0.05,115.21152872235706,0.17075039461946645,1.4669557451124047,0.12924155258115122,0.0594,0.3048780487804878,0.0,4.986684799194336
dqn,2,0.05,112.28327776057382,0.163989281995833,1.4659856827812625,0.12864258013445368,0.06,0.291497975708502,0.0,5.712508201599121
ppo,0,0.05,105.81876564827306,0.15738872487948774,1.4934966139027346,0.13404017751001704,0.0652,0.3281853281853282,0.0,4.617186784744263
ppo,1,0.05,120.87137437067292,0.1662277558294414,1.3923763361175567,0.12291091082727879,0.0572,0.2601626016260163,0.0,4.7143638134002686
ppo,2,0.05,114.10202017644748,0.17328165770645992,1.4596432486635496,0.1271350359318991,0.0598,0.29554655870445345,0.0,5.101677179336548
mappo,0,0.05,107.56144025279909,0.1677759141732834,1.499209909689464,0.1347606579307013,0.0642,0.3281853281853282,0.0,5.440849781036377
mappo,1,0.05,115.3331974592787,0.15670241860109768,1.4314379084391287,0.12387761754658516,0.058,0.24390243902439024,0.0,4.133702754974365
mappo,2,0.05,110.37354329431724,0.16504204142242113,1.468852642981553,0.1307865733319016,0.0612,0.30364372469635625,0.0,3.5999650955200195
cto,0,0.05,132.53066873916973,0.17643419633868454,1.3155668098226208,0.09799706207411994,0.0604,0.11583011583011583,0.0,3.9758639335632324
cto,1,0.05,141.62562358058915,0.19194498195451165,1.2631209702104251,0.09013022182961346,0.0556,0.08536585365853659,0.0,3.6933021545410156
cto,2,0.05,138.39187392091262,0.1954382987996578,1.2934536596054103,0.08915739228687904,0.0564,0.12550607287449392,0.0,3.6521670818328857
causal,0,0.1,117.96400530627898,0.19309586572798967,1.4925005664673758,0.09746862087231167,0.1374,0.19807692307692307,0.0,4.164520263671875
causal,1,0.1,119.75369032674972,0.19235533827936638,1.484106623658844,0.09125752142248368,0.1322,0.186,0.0,3.925316095352173
causal,2,0.1,124.61693216563646,0.19684625231869216,1.450577132202329,0.09262210839862449,0.1234,0.1891891891891892,0.0,3.874931812286377
