name,seed,n_users,reward,acc,delay,energy,backlog,vio,vio_excess,sec
causal,0,10.0,126.67015296871523,0.1870223631284518,1.409866542380025,0.09307488320415483,0.092,0.15846994535519127,0.0,4.22796893119812
causal,1,10.0,137.0821512249477,0.20094200026741868,1.3139545154216403,0.09021975070699549,0.0772,0.12048192771084337,0.0,4.219902038574219
causal,2,10.0,127.62257584055695,0.1927863838576283,1.3958485647191174,0.09128911841498243,0.0812,0.17378048780487804,0.0,4.876748085021973
ucb,0,10.0,104.33223337321719,0.14929773765810592,1.5478112971707898,0.12432031125830871,0.0968,0.28688524590163933,0.0,4.263316869735718
ucb,1,10.0,113.0907309204205,0.15407837646520134,1.4107455369267559,0.1187445303243108,0.0794,0.27710843373493976,0.0,4.320840835571289
ucb,2,10.0,101.3338370220084,0.15919421343761953,1.5493744200396695,0.12761729991142629,0.0854,0.34146341463414637,0.0,4.2762229442596436
dts,0,10.0,104.40230101143199,0.1613459659990654,1.5602493275742761,0.12583348904471348,0.096,0.3087431693989071,0.0,4.4498279094696045
dts,1,10.0,113.17875907730983,0.16344954161447023,1.4343458110341551,0.12082460523512348,0.0796,0.3042168674698795,0.0,4.25211501121521
dts,2,10.0,102.16742097388449,0.16594840857011922,1.5681217030500139,0.12892414931746027,0.0852,0.3445121951219512,0.0,4.580524921417236
gdo,0,10.0,119.22415172639731,0.21066382917467064,1.55090567489807,0.10792908722159611,0.0958,0.24863387978142076,0.0,4.322540760040283
gdo,1,10.0,131.6813442271987,0.21678215990861138,1.407120563659582,0.09911353803398003,0.0796,0.1716867469879518,0.0,4.632072925567627
gdo,2,10.0,125.33545099821676,0.20888394850113393,1.459583402048982,0.1003353561738588,0.0826,0.20426829268292682,0.0,4.290096044540405
dqn,0,10.0,105.83206048709344,0.16241000332449054,1.5307337270869175,0.1261943149120347,0.0944,0.31420765027322406,0.0,5.9335551261901855
dqn,1,10.0,105.10313713664064,0.1678461796014407,1.5458186606123718,0.12887921395964266,0.085,0.3313253012048193,0.0,5.952939987182617
dqn,2,10.0,105.88843101283317,0.17079241364232903,1.5389122850113466,0.12440143662812214,0.084,0.3170731707317073,0.0,5.933613061904907
ppo,0,10.0,97.85259609291278,0.15074157723094841,1.5760264297534865,0.13176169564365883,0.098,0.3333333333333333,0.0,4.591195106506348
ppo,1,10.0,111.1782112861756,0.16867981469357915,1.4928982339247763,0.1263408667681119,0.083,0.30120481927710846,0.0,4.634304761886597
ppo,2,10.0,107.47704078355953,0.17165963123201008,1.5298507181521526,0.12585790837057498,0.0832,0.3231707317073171,0.0,4.997846603393555
mappo,0,10.0,100.6884006699493,0.1653600073853883,1.5971885833370152,0.131845042417328,0.0974,0.3469945355191257,0.0,4.1576619148254395
mappo,1,10.0,112.0993815530706,0.1601176972988149,1.4598882432186768,0.124502011575126,0.08,0.2740963855421687,0.0,4.204899072647095
mappo,2,10.0,104.47216547535837,0.16729178278304024,1.534982424072813,0.12970829551561,0.0848,0.3384146341463415,0.0,4.241840124130249
cto,0,10.0,126.74550109391475,0.18473728513528595,1.4032420315144531,0.09196915851220755,0.092,0.15300546448087432,0.0,4.199130058288574
cto,1,10.0,137.06126597086077,0.20004369157065569,1.3114179497300533,0.08993562106754983,0.0772,0.11746987951807229,0.0,4.215152025222778
cto,2,10.0,128.66058666356676,0.18793846028119884,1.368209392841571,0.08956912833945802,0.0808,0.1676829268292683,0.0,4.236668109893799
causal,0,15.0,124.58477307601673,0.1930204141817919,1.4583310822017719,0.09355505005887423,0.09173333333333333,0.1895910780669145,0.0,6.590551137924194
causal,1,15.0,130.82824894409333,0.19180567161391268,1.3673705986222544,0.09211226716696272,0.08213333333333334,0.1392156862745098,0.0,6.430458068847656
causal,2,15.0,125.44717424790514,0.19882496989239543,1.433648655670655,0.0916124552681894,0.082,0.18329938900203666,0.0,6.3930418491363525
ucb,0,15.0,96.84953984233256,0.15144079301774901,1.597889662002751,0.12256238590014569,0.09653333333333333,0.3382899628252788,0.0,6.5824668407440186
ucb,1,15.0,107.12652591434055,0.15875992103606054,1.502985005187878,0.11900722470479076,0.08693333333333333,0.296078431372549,0.0,6.542669773101807
ucb,2,15.0,101.64960138094156,0.15429181878479717,1.5519216534309053,0.12333383159054222,0.08506666666666667,0.3319755600814664,0.0,6.638252258300781
dts,0,15.0,96.94188300885186,0.16109350523705968,1.6394057968052356,0.12676753809670074,0.09773333333333334,0.3420074349442379,0.0,6.6868298053741455
dts,1,15.0,109.15436613546355,0.16690932287148424,1.5110491058507785,0.1193716549963691,0.086,0.30392156862745096,0.0,6.755094051361084
dts,2,15.0,99.96162167787408,0.16914650751669202,1.5993077834293403,0.1294729576296074,0.08666666666666667,0.3604887983706721,0.0,6.543330907821655
gdo,0,15.0,116.1638532465583,0.21607427652595476,1.5898311837557304,0.10877986212350296,0.09533333333333334,0.2620817843866171,0.0,6.573798179626465
gdo,1,15.0,122.35058334163278,0.21562314921188355,1.4986213526080678,0.10424941708070676,0.08653333333333334,0.22941176470588234,0.0,6.46986985206604
gdo,2,15.0,117.92999046182184,0.21536640450092948,1.5463065402527065,0.10767549029822404,0.08626666666666667,0.2606924643584521,0.0,6.405875205993652
