name,seed,n_users,reward,acc,delay,energy,backlog,vio,vio_excess,sec
causal,0,5.0,114.74030511701052,0.17099333402058928,1.4913768734870498,0.10048733635630734,0.0956,0.1797752808988764,0.0,2.244473934173584
causal,1,5.0,134.98411723450752,0.1712392951057071,1.2608171676316413,0.095933186444907,0.0692,0.10526315789473684,0.0,2.0671889781951904
causal,2,5.0,128.49710253076563,0.18564667154955536,1.3729976653881244,0.09744662700667497,0.0856,0.1781609195402299,0.0,2.1824188232421875
ucb,0,5.0,98.73865333049302,0.13000978250451556,1.5630552198588337,0.11835438080601823,0.0972,0.25842696629213485,0.0,2.0952579975128174
ucb,1,5.0,114.25032484361583,0.1582886928902928,1.4142861204810806,0.12730144752200365,0.0708,0.2631578947368421,0.0,2.552435874938965
ucb,2,5.0,104.6883943010048,0.15193290871300547,1.5214226536356437,0.1319457776887778,0.0892,0.3103448275862069,0.0,2.042515993118286
dts,0,5.0,93.57205080148337,0.15664331153696728,1.6670698964763604,0.12588303861220057,0.1012,0.3202247191011236,0.0,2.0888772010803223
dts,1,5.0,110.28103238404482,0.16381098416114376,1.4929401217386078,0.1329255328385945,0.0744,0.29605263157894735,0.0,2.045184850692749
dts,2,5.0,103.05734935174257,0.1588095780676333,1.5601920510729752,0.13385994752844996,0.0904,0.3505747126436782,0.0,2.4624111652374268
gdo,0,5.0,111.5063358893809,0.20017422677354768,1.5883704713965172,0.1103888313591411,0.098,0.23595505617977527,0.0,2.0456390380859375
gdo,1,5.0,135.01865370995972,0.2027573693592492,1.3511695460624837,0.10679954838378214,0.07,0.11842105263157894,0.0,2.020846128463745
gdo,2,5.0,128.80291430325155,0.2096356138497976,1.4366916653294022,0.10263414352910681,0.0864,0.21839080459770116,0.0,2.3730628490448
dqn,0,5.0,102.19178365911272,0.1684436138553148,1.5981764984661746,0.1255944573053988,0.098,0.29775280898876405,0.0,2.9179601669311523
dqn,1,5.0,114.16240266606749,0.1788769806459086,1.492810588341966,0.1356244120679902,0.0744,0.3026315789473684,0.0,2.9228270053863525
