name,seed,snr_db,reward,acc,delay,energy,backlog,vio,vio_excess,sec
cto,1,4,3.37763,0.187944,31.4896,3.62391,49221.3,0.4638,15.5244,38.5258
cto,2,4,2.368,0.185824,37.4336,4.29445,35010.9,0.522,20.1807,36.4672
causal,0,6,6.93727,0.191523,12.0124,1.80024,29820.7,0.2166,6.10309,20.2412
causal,1,6,7.38033,0.193617,13.1355,1.77219,29435.1,0.1918,6.70463,19.4485
causal,2,6,7.42804,0.198379,9.90229,1.52685,29750.5,0.284,4.83042,19.3899
ucb,0,6,5.21498,0.176165,16.163,2.21156,33234.4,0.3602,7.75607,23.0483
ucb,1,6,3.71369,0.185365,29.5064,3.40622,48961.3,0.427,14.7486,23.2985
ucb,2,6,5.24463,0.178036,16.848,2.24657,34303.4,0.4358,8.09307,23.4358
dts,0,6,4.38716,0.190875,18.7622,2.46253,45097.6,0.4946,9.19677,24.085
dts,1,6,4.34417,0.187083,24.3801,2.89675,39469.6,0.4262,12.8554,24.8753
dts,2,6,4.01641,0.194647,24.5462,3.00809,39666.2,0.528,13.5188,29.5639
gdo,0,6,-3.78098,0.234358,78.1171,8.41656,178059,0.7038,43.4097,14.833
gdo,1,6,-1.51715,0.245987,67.4377,7.22354,224689,0.625,37.2709,15.2958
gdo,2,6,-4.43213,0.243817,86.5891,9.23275,230020,0.714,49.1833,13.7251
rss,0,6,1.13201,0.194235,34.5145,4.01442,111384,0.6594,17.693,11.9332
rss,1,6,1.21439,0.196991,38.6258,4.24995,98105.5,0.6696,18.7328,11.1468
rss,2,6,-1.94481,0.194603,60.9319,6.6084,74464.8,0.6784,35.7027,12.7351
dqn,0,6,-3.10181,0.205043,67.7826,7.34162,104690,0.7106,35.2107,27.7454
dqn,1,6,-0.102036,0.204196,49.297,5.3608,85605.9,0.6574,24.6124,28.0461
dqn,2,6,0.0486023,0.206537,44.904,4.98012,96850.8,0.733,23.3387,27.6125
ppo,0,6,0.136534,0.205973,41.2229,4.68817,87591.5,0.7234,21.3486,14.1217
ppo,1,6,-2.7395,0.206485,70.0901,7.43561,102505,0.664,35.9429,13.0981
ppo,2,6,1.55814,0.20782,33.0751,3.81165,89251,0.7346,17.297,13.7902
mappo,0,6,-1.22164,0.206577,52.7303,5.83692,119204,0.7264,27.9086,13.0663
mappo,1,6,-1.80214,0.203977,62.2221,6.64238,97925.7,0.6786,31.0515,13.0596
mappo,2,6,0.383933,0.204603,42.5825,4.74627,82361.3,0.7268,24.3469,13.1313
cto,0,6,5.09845,0.183962,18.8126,2.48654,30842,0.369,9.61446,47.0496
cto,1,6,4.82122,0.181772,24.1475,2.88423,27181.1,0.3488,12.4763,42.8069
cto,2,6,3.72445,0.187075,26.2356,3.18047,36068.2,0.523,13.7467,37.4663
causal,0,8,7.56686,0.20622,10.777,1.67415,31437.9,0.1862,4.98812,20.8587
causal,1,8,8.0246,0.205602,11.4246,1.60082,32655.4,0.1662,5.83088,20.651
causal,2,8,7.87723,0.206477,8.63642,1.40573,34479.8,0.2754,4.13059,20.4503
ucb,0,8,6.04722,0.172952,13.0674,1.89533,25672.2,0.287,6.25028,24.1673
ucb,1,8,5.85228,0.193584,20.375,2.50098,34390.4,0.3048,10.3444,24.6068
ucb,2,8,4.87035,0.183956,23.2767,2.86045,33012.8,0.3836,10.0721,24.1315
