name,seed,causal_feas_margin,gdo_feas_margin,reward,acc,vio,delay,energy,backlog,sec
causal,0,0.78,nan,120.83175534085886,0.17627358809523844,0.18510158013544017,1.44577615585298,0.08941699486245736,0.09072,9.608665227890015
causal,1,0.78,nan,118.4550596290876,0.16659347092411703,0.18665158371040724,1.4352558063790521,0.08665605450559517,0.08984,9.563963174819946
causal,2,0.78,nan,119.72026058027741,0.17448464133423428,0.18058968058968058,1.4439498041232222,0.08749352467757901,0.0832,9.593627214431763
causal,0,0.84,nan,121.28290349051309,0.18678359123353772,0.19074492099322798,1.4672290069337146,0.08986916358993761,0.09152,9.917924880981445
causal,1,0.84,nan,120.32637899428401,0.17574079504963194,0.18438914027149322,1.4344345104071388,0.08564697625461087,0.0896,9.470290899276733
causal,2,0.84,nan,120.5284230238552,0.18332645050870788,0.1941031941031941,1.4606146650130658,0.08939813191979577,0.08344,9.304779052734375
causal,0,0.88,nan,121.17945787845935,0.18527406853073058,0.19187358916478556,1.4651683875729948,0.08967805335598687,0.09136,10.154744625091553
causal,1,0.88,nan,116.27696989147603,0.18402619347305893,0.2171945701357466,1.4996891065879645,0.08974656173040989,0.09264,11.863708257675171
causal,2,0.88,nan,121.99404323496971,0.19156004803265378,0.20147420147420148,1.460883354281033,0.08883667380746009,0.08336,10.222749948501587
causal,0,0.92,nan,123.2768631931001,0.1950983827713846,0.19977426636568849,1.4712930326002105,0.09077872943402829,0.09104,11.81003713607788
causal,1,0.92,nan,119.918359784005,0.19036417234489048,0.21040723981900453,1.4695890901032582,0.09013410384640914,0.09,12.185417175292969
causal,2,0.92,nan,122.36783341428635,0.19664099351229208,0.20393120393120392,1.4814256360857159,0.09172186607271914,0.08312,16.659206867218018
causal,0,0.96,nan,123.0559593085013,0.20381105727909424,0.19751693002257337,1.5003756259318128,0.0928098292872221,0.09208,22.186020135879517
causal,1,0.96,nan,121.50364804401552,0.18869058810584818,0.19343891402714933,1.4557315805302284,0.08938102848038405,0.09,26.160310983657837
causal,2,0.96,nan,123.05397970470902,0.19727669414625584,0.19901719901719903,1.4738298820166573,0.08758390944361832,0.08352,16.86234211921692
causal,0,1.0,nan,121.8688916984071,0.19870826882757264,0.208803611738149,1.5018816392651246,0.09311637630332259,0.09232,22.23854112625122
causal,1,1.0,nan,121.35916185717895,0.20150780937253343,0.2239819004524887,1.494030344327287,0.0906429300842489,0.09112,14.638631105422974
causal,2,1.0,nan,123.2300959416839,0.20172906787291225,0.21867321867321868,1.4771800278475853,0.09003273621203661,0.0832,12.816174030303955
gdo,0,nan,0.7,113.55315024206593,0.1505476209594756,0.18961625282167044,1.4533798032108554,0.09410513511750908,0.09192,13.097188234329224
gdo,1,nan,0.7,113.80397178757381,0.15395535618887013,0.20135746606334842,1.442277590270567,0.08979720843531841,0.09072,11.916908025741577
gdo,2,nan,0.7,116.38379925694366,0.1569695635704584,0.18796068796068796,1.4332954566955423,0.09018204388675866,0.0828,11.024946212768555
gdo,0,nan,0.75,113.87816575837707,0.16469332174046789,0.19074492099322798,1.4856391079872753,0.09581443655078183,0.09288,10.884846925735474
gdo,1,nan,0.75,114.55488621977183,0.16854340240254562,0.20701357466063347,1.4653476609202163,0.09185295652107672,0.08992,12.802518844604492
gdo,2,nan,0.75,115.53057749036789,0.17132672484124065,0.20024570024570024,1.4679228702311418,0.09268073006529122,0.08376,10.58094596862793
gdo,0,nan,0.8,111.79889058507277,0.17468070461928187,0.22573363431151242,1.536141003540493,0.10118447244836197,0.09432,10.671275854110718
gdo,1,nan,0.8,111.34721473596454,0.17901281275243947,0.23529411764705882,1.5280524193405567,0.09500795280032147,0.09368,10.68646788597107
gdo,2,nan,0.8,113.46689460258933,0.18250454653691833,0.21253071253071254,1.5316434517748867,0.0961166334245102,0.08688,11.907930135726929
gdo,0,nan,0.85,109.5656248476421,0.18578234304402816,0.24153498871331827,1.5812516194362691,0.10561592294447526,0.0964,10.994465827941895
gdo,1,nan,0.85,108.70086280551011,0.18672990415282745,0.26131221719457015,1.5720374001680597,0.09748548400355034,0.09528,12.119550943374634
gdo,2,nan,0.85,113.20280449113196,0.1925895057565431,0.23464373464373464,1.554790710871769,0.0999511605731235,0.08688,11.880128860473633
gdo,0,nan,0.9,110.68656781556098,0.19703158559869088,0.24717832957110608,1.5920913282085192,0.10722575558055143,0.0964,12.64771032333374
gdo,1,nan,0.9,106.05432158379378,0.19410058938712804,0.27941176470588236,1.6283560327952933,0.10190877181109384,0.09768,11.718043804168701
gdo,2,nan,0.9,110.07289186121224,0.1978807470288955,0.24447174447174447,1.5992748407280302,0.10364312475660825,0.08848,13.158298969268799
gdo,0,nan,0.95,108.54686352088527,0.20723676116664216,0.291196388261851,1.6424128625226293,0.10926730823879202,0.09824,13.758310079574585
gdo,1,nan,0.95,109.61098095751952,0.2048371395567845,0.2718006795016987,1.6093802365742909,0.10424800017627153,0.0952,11.735754013061523
gdo,2,nan,0.95,111.49500473619294,0.2093140114076085,0.257985257985258,1.617488950034095,0.10421098671501618,0.08904,11.928027868270874
gdo,0,nan,1.0,107.6245027347411,0.21295511601948858,0.31376975169300225,1.6778969834183741,0.11171317827697745,0.09928,11.770904064178467
gdo,1,nan,1.0,107.54914613239849,0.21342684864362102,0.29898074745186864,1.6573303311408192,0.10621842871869452,0.09768,11.872636079788208
gdo,2,nan,1.0,109.53831827900541,0.21647830363643578,0.28624078624078625,1.650022327926367,0.105627460032394,0.09024,20.09805703163147
